Suspicious RendezVous : { Vessel_1 : 227592820, Vessel_2 : 227612860 , Gap_End_1 : 1443710270 , Gap_End_2 : 1443765516, GeoHash : gbsfc, Lon1 : 48.304527 , Lat1 : -4.4891834, Lon2 : 48.29608 , Lat2 : -4.51138 }
Suspicious RendezVous : { Vessel_1 : 227008170, Vessel_2 : 228064900 , Gap_End_1 : 1443765317 , Gap_End_2 : 1443765654, GeoHash : gbsg1, Lon1 : 48.38035 , Lat1 : -4.484998, Lon2 : 48.370773 , Lat2 : -4.5130367 }
Suspicious RendezVous : { Vessel_1 : 228064900, Vessel_2 : 227008170 , Gap_End_1 : 1443765654 , Gap_End_2 : 1443766588, GeoHash : gbsg1, Lon1 : 48.370773 , Lat1 : -4.5130367, Lon2 : 48.380234 , Lat2 : -4.484165 }
Suspicious RendezVous : { Vessel_1 : 227008170, Vessel_2 : 227612860 , Gap_End_1 : 1443766588 , Gap_End_2 : 1443769054, GeoHash : gbsg1, Lon1 : 48.380234 , Lat1 : -4.484165, Lon2 : 48.3673 , Lat2 : -4.515187 }
Suspicious RendezVous : { Vessel_1 : 227612860, Vessel_2 : 227008170 , Gap_End_1 : 1443769054 , Gap_End_2 : 1443770747, GeoHash : gbsg1, Lon1 : 48.3673 , Lat1 : -4.515187, Lon2 : 48.38 , Lat2 : -4.484665 }
Suspicious RendezVous : { Vessel_1 : 228017700, Vessel_2 : 227002330 , Gap_End_1 : 1443717710 , Gap_End_2 : 1443771640, GeoHash : gbsdg, Lon1 : 48.331894 , Lat1 : -4.7847333, Lon2 : 48.328587 , Lat2 : -4.78251 }
Suspicious RendezVous : { Vessel_1 : 228167900, Vessel_2 : 227002630 , Gap_End_1 : 1443735922 , Gap_End_2 : 1443773452, GeoHash : gbs9h, Lon1 : 48.0117 , Lat1 : -4.70467, Lon2 : 48.030807 , Lat2 : -4.7389283 }
Suspicious RendezVous : { Vessel_1 : 227002630, Vessel_2 : 228109000 , Gap_End_1 : 1443773452 , Gap_End_2 : 1443774083, GeoHash : gbs9h, Lon1 : 48.030807 , Lat1 : -4.7389283, Lon2 : 48.015118 , Lat2 : -4.7376366 }
Suspicious RendezVous : { Vessel_1 : 228017700, Vessel_2 : 227008170 , Gap_End_1 : 1443686197 , Gap_End_2 : 1443775669, GeoHash : gbse4, Lon1 : 48.37467 , Lat1 : -4.810653, Lon2 : 48.377 , Lat2 : -4.815665 }
Suspicious RendezVous : { Vessel_1 : 227008170, Vessel_2 : 227005550 , Gap_End_1 : 1443770747 , Gap_End_2 : 1443775833, GeoHash : gbsg1, Lon1 : 48.38 , Lat1 : -4.484665, Lon2 : 48.37415 , Lat2 : -4.488187 }
Suspicious RendezVous : { Vessel_1 : 227008170, Vessel_2 : 228827000 , Gap_End_1 : 1443775669 , Gap_End_2 : 1443775910, GeoHash : gbse4, Lon1 : 48.377 , Lat1 : -4.815665, Lon2 : 48.37598 , Lat2 : -4.8021717 }
Suspicious RendezVous : { Vessel_1 : 227005550, Vessel_2 : 227612860 , Gap_End_1 : 1443775833 , Gap_End_2 : 1443781086, GeoHash : gbsg1, Lon1 : 48.37415 , Lat1 : -4.488187, Lon2 : 48.379982 , Lat2 : -4.4970865 }
Suspicious RendezVous : { Vessel_1 : 227612860, Vessel_2 : 227005550 , Gap_End_1 : 1443781086 , Gap_End_2 : 1443784132, GeoHash : gbsg1, Lon1 : 48.379982 , Lat1 : -4.4970865, Lon2 : 48.380707 , Lat2 : -4.48725 }
Suspicious RendezVous : { Vessel_1 : 227005550, Vessel_2 : 227574020 , Gap_End_1 : 1443784132 , Gap_End_2 : 1443784641, GeoHash : gbsg1, Lon1 : 48.380707 , Lat1 : -4.48725, Lon2 : 48.38245 , Lat2 : -4.496703 }
Suspicious RendezVous : { Vessel_1 : 227574020, Vessel_2 : 205204000 , Gap_End_1 : 1443784641 , Gap_End_2 : 1443785071, GeoHash : gbsg1, Lon1 : 48.38245 , Lat1 : -4.496703, Lon2 : 48.369465 , Lat2 : -4.514785 }
Suspicious RendezVous : { Vessel_1 : 999999999, Vessel_2 : 228109000 , Gap_End_1 : 1443753920 , Gap_End_2 : 1443787831, GeoHash : gbs3u, Lon1 : 48.133915 , Lat1 : -5.077325, Lon2 : 48.1637 , Lat2 : -5.092315 }
Suspicious RendezVous : { Vessel_1 : 205204000, Vessel_2 : 228186700 , Gap_End_1 : 1443785071 , Gap_End_2 : 1443789961, GeoHash : gbsg1, Lon1 : 48.369465 , Lat1 : -4.514785, Lon2 : 48.370834 , Lat2 : -4.5124984 }
Suspicious RendezVous : { Vessel_1 : 228186700, Vessel_2 : 227592820 , Gap_End_1 : 1443789961 , Gap_End_2 : 1443791825, GeoHash : gbsg1, Lon1 : 48.370834 , Lat1 : -4.5124984, Lon2 : 48.367126 , Lat2 : -4.4882565 }
