Suspicious RendezVous : { Vessel_1 : 227592820, Vessel_2 : 227148000 , Gap_End_1 : 1446227621 , Gap_End_2 : 1446278395, GeoHash : gbsg1x, Lon1 : 48.38246 , Lat1 : -4.496683, Lon2 : 48.38027 , Lat2 : -4.4982815 }
Suspicious RendezVous : { Vessel_1 : 227730220, Vessel_2 : 227003050 , Gap_End_1 : 1446228148 , Gap_End_2 : 1446278402, GeoHash : gbsg1z, Lon1 : 48.38052 , Lat1 : -4.4865785, Lon2 : 48.380768 , Lat2 : -4.485912 }
Suspicious RendezVous : { Vessel_1 : 227003050, Vessel_2 : 226263000 , Gap_End_1 : 1446278402 , Gap_End_2 : 1446278411, GeoHash : gbsg1z, Lon1 : 48.380768 , Lat1 : -4.485912, Lon2 : 48.379807 , Lat2 : -4.48577 }
Suspicious RendezVous : { Vessel_1 : 226263000, Vessel_2 : 227002330 , Gap_End_1 : 1446278411 , Gap_End_2 : 1446278456, GeoHash : gbsg1z, Lon1 : 48.379807 , Lat1 : -4.48577, Lon2 : 48.380684 , Lat2 : -4.48594 }
Suspicious RendezVous : { Vessel_1 : 220625000, Vessel_2 : 236175000 , Gap_End_1 : 1446226879 , Gap_End_2 : 1446278494, GeoHash : gbsg4x, Lon1 : 48.383533 , Lat1 : -4.4511, Lon2 : 48.38283 , Lat2 : -4.451998 }
Suspicious RendezVous : { Vessel_1 : 236175000, Vessel_2 : 257739000 , Gap_End_1 : 1446278494 , Gap_End_2 : 1446278544, GeoHash : gbsg4x, Lon1 : 48.38283 , Lat1 : -4.451998, Lon2 : 48.383133 , Lat2 : -4.453965 }
Suspicious RendezVous : { Vessel_1 : 227002330, Vessel_2 : 227003050 , Gap_End_1 : 1446278456 , Gap_End_2 : 1446284162, GeoHash : gbsg1z, Lon1 : 48.380684 , Lat1 : -4.48594, Lon2 : 48.380783 , Lat2 : -4.48595 }
Suspicious RendezVous : { Vessel_1 : 227003050, Vessel_2 : 226263000 , Gap_End_1 : 1446284162 , Gap_End_2 : 1446340183, GeoHash : gbsg1z, Lon1 : 48.380783 , Lat1 : -4.48595, Lon2 : 48.37982 , Lat2 : -4.4857583 }
Suspicious RendezVous : { Vessel_1 : 226263000, Vessel_2 : 227002330 , Gap_End_1 : 1446340183 , Gap_End_2 : 1446340197, GeoHash : gbsg1z, Lon1 : 48.37982 , Lat1 : -4.4857583, Lon2 : 48.38071 , Lat2 : -4.48594 }
Suspicious RendezVous : { Vessel_1 : 227002330, Vessel_2 : 227003050 , Gap_End_1 : 1446340197 , Gap_End_2 : 1446340504, GeoHash : gbsg1z, Lon1 : 48.38071 , Lat1 : -4.48594, Lon2 : 48.38071 , Lat2 : -4.4860134 }
Suspicious RendezVous : { Vessel_1 : 227003050, Vessel_2 : 227002330 , Gap_End_1 : 1446340504 , Gap_End_2 : 1446396358, GeoHash : gbsg1z, Lon1 : 48.38071 , Lat1 : -4.4860134, Lon2 : 48.380688 , Lat2 : -4.4859433 }
Suspicious RendezVous : { Vessel_1 : 227003050, Vessel_2 : 227002330 , Gap_End_1 : 1446345184 , Gap_End_2 : 1446396358, GeoHash : gbsg1z, Lon1 : 48.38077 , Lat1 : -4.485942, Lon2 : 48.380688 , Lat2 : -4.4859433 }
