Suspicious RendezVous : { Vessel_1 : 228017700, Vessel_2 : 228827000 , Gap_End_1 : 1443686197 , Gap_End_2 : 1443775910, GeoHash : gbse4w, Lon1 : 48.37467 , Lat1 : -4.810653, Lon2 : 48.37598 , Lat2 : -4.8021717 }
Suspicious RendezVous : { Vessel_1 : 227008170, Vessel_2 : 227005550 , Gap_End_1 : 1443765317 , Gap_End_2 : 1443784132, GeoHash : gbsg1z, Lon1 : 48.38035 , Lat1 : -4.484998, Lon2 : 48.380707 , Lat2 : -4.48725 }
Suspicious RendezVous : { Vessel_1 : 227008170, Vessel_2 : 227005550 , Gap_End_1 : 1443766588 , Gap_End_2 : 1443784132, GeoHash : gbsg1z, Lon1 : 48.380234 , Lat1 : -4.484165, Lon2 : 48.380707 , Lat2 : -4.48725 }
Suspicious RendezVous : { Vessel_1 : 227008170, Vessel_2 : 227005550 , Gap_End_1 : 1443770747 , Gap_End_2 : 1443784132, GeoHash : gbsg1z, Lon1 : 48.38 , Lat1 : -4.484665, Lon2 : 48.380707 , Lat2 : -4.48725 }
Suspicious RendezVous : { Vessel_1 : 227612860, Vessel_2 : 227574020 , Gap_End_1 : 1443761276 , Gap_End_2 : 1443784641, GeoHash : gbsg1x, Lon1 : 48.382538 , Lat1 : -4.4966135, Lon2 : 48.38245 , Lat2 : -4.496703 }
Suspicious RendezVous : { Vessel_1 : 227612860, Vessel_2 : 227574020 , Gap_End_1 : 1443763413 , Gap_End_2 : 1443784641, GeoHash : gbsg1x, Lon1 : 48.38022 , Lat1 : -4.4971914, Lon2 : 48.38245 , Lat2 : -4.496703 }
Suspicious RendezVous : { Vessel_1 : 227612860, Vessel_2 : 227574020 , Gap_End_1 : 1443781086 , Gap_End_2 : 1443784641, GeoHash : gbsg1x, Lon1 : 48.379982 , Lat1 : -4.4970865, Lon2 : 48.38245 , Lat2 : -4.496703 }
Suspicious RendezVous : { Vessel_1 : 228064900, Vessel_2 : 205204000 , Gap_End_1 : 1443765654 , Gap_End_2 : 1443785071, GeoHash : gbsg1m, Lon1 : 48.370773 , Lat1 : -4.5130367, Lon2 : 48.369465 , Lat2 : -4.514785 }
Suspicious RendezVous : { Vessel_1 : 205204000, Vessel_2 : 228186700 , Gap_End_1 : 1443785071 , Gap_End_2 : 1443789961, GeoHash : gbsg1m, Lon1 : 48.369465 , Lat1 : -4.514785, Lon2 : 48.370834 , Lat2 : -4.5124984 }
Suspicious RendezVous : { Vessel_1 : 227574020, Vessel_2 : 227612860 , Gap_End_1 : 1443784641 , Gap_End_2 : 1443794134, GeoHash : gbsg1x, Lon1 : 48.38245 , Lat1 : -4.496703, Lon2 : 48.3806 , Lat2 : -4.4977283 }
Suspicious RendezVous : { Vessel_1 : 227612860, Vessel_2 : 227574020 , Gap_End_1 : 1443794134 , Gap_End_2 : 1443794432, GeoHash : gbsg1x, Lon1 : 48.3806 , Lat1 : -4.4977283, Lon2 : 48.382454 , Lat2 : -4.4966717 }
Suspicious RendezVous : { Vessel_1 : 227392000, Vessel_2 : 236401000 , Gap_End_1 : 1443701140 , Gap_End_2 : 1443797577, GeoHash : gbscts, Lon1 : 48.098385 , Lat1 : -4.3270583, Lon2 : 48.098667 , Lat2 : -4.3243318 }
Suspicious RendezVous : { Vessel_1 : 227392000, Vessel_2 : 236401000 , Gap_End_1 : 1443703400 , Gap_End_2 : 1443797577, GeoHash : gbscts, Lon1 : 48.09841 , Lat1 : -4.3270516, Lon2 : 48.098667 , Lat2 : -4.3243318 }
Suspicious RendezVous : { Vessel_1 : 236401000, Vessel_2 : 227820000 , Gap_End_1 : 1443797577 , Gap_End_2 : 1443800276, GeoHash : gbscts, Lon1 : 48.098667 , Lat1 : -4.3243318, Lon2 : 48.098667 , Lat2 : -4.3269134 }
